hour,model_avg_density
0,5.8747534754514685
1,4.282199859619141
2,3.128396987915039
3,2.726557972037792
4,3.2022411823272705
5,4.748901844024658
6,11.652365684509277
7,23.483510971069336
8,25.02320480365753
9,25.585298538208008
10,24.166353225708008
11,22.438396453857422
12,22.956838607788086
13,24.83368492126465
14,25.076705932617188
15,25.20345687866211
16,24.233898162841797
17,24.193822860717773
18,21.065309524536133
19,18.71595001220703
20,17.330944061279297
21,15.458412170410156
22,11.395003318786621
23,7.807695581912994
